,id_student,code_module - code_presentation,final_result
0,6516.0,AAA - 2014J,1
1,8462.0,DDD - 2013J,0
2,8462.0,DDD - 2014J,0
3,11391.0,AAA - 2013J,1
4,23629.0,BBB - 2013B,0
5,23698.0,CCC - 2014J,1
6,23798.0,BBB - 2013J,1
7,24186.0,GGG - 2014B,1
8,24213.0,DDD - 2014B,1
9,24391.0,GGG - 2013J,1
10,24734.0,AAA - 2014J,1
11,25107.0,BBB - 2013B,1
12,25150.0,EEE - 2014B,1
13,25572.0,DDD - 2014J,0
14,25997.0,BBB - 2014B,0
15,26023.0,GGG - 2013J,1
16,26192.0,AAA - 2014J,1
17,26211.0,FFF - 2014B,1
18,26247.0,FFF - 2013J,0
19,26315.0,BBB - 2014J,1
20,26734.0,BBB - 2014J,0
21,27116.0,CCC - 2014J,1
22,27189.0,FFF - 2014B,0
23,27417.0,DDD - 2013J,0
24,27417.0,DDD - 2014J,0
25,27683.0,FFF - 2014B,1
26,27759.0,BBB - 2013J,0
27,27780.0,EEE - 2014B,1
28,27891.0,BBB - 2013B,0
29,27891.0,BBB - 2014B,0
30,27935.0,DDD - 2013J,0
31,28046.0,DDD - 2013J,0
32,28061.0,AAA - 2014J,1
33,28400.0,AAA - 2013J,1
34,28808.0,FFF - 2014B,0
35,28897.0,FFF - 2014B,1
36,28952.0,CCC - 2014J,0
37,29144.0,BBB - 2013B,0
38,29335.0,FFF - 2013J,1
39,29411.0,CCC - 2014J,0
40,29411.0,DDD - 2013J,1
41,29420.0,CCC - 2014J,1
42,29639.0,CCC - 2014J,1
43,29639.0,EEE - 2014B,1
44,29764.0,CCC - 2014B,1
45,29769.0,FFF - 2013J,0
46,29820.0,CCC - 2014B,1
47,29820.0,EEE - 2014B,1
48,29985.0,GGG - 2014B,1
49,30091.0,BBB - 2013J,1
50,30096.0,CCC - 2014J,1
51,30531.0,FFF - 2014B,0
52,30549.0,DDD - 2013J,0
53,30850.0,CCC - 2014J,1
54,31014.0,BBB - 2013J,0
55,31107.0,GGG - 2014B,1
56,31161.0,CCC - 2014J,1
57,31173.0,DDD - 2013J,0
58,31205.0,GGG - 2014J,0
59,31269.0,DDD - 2014B,0
60,31296.0,FFF - 2014J,0
61,31600.0,AAA - 2014J,1
62,31604.0,AAA - 2013J,1
63,31663.0,BBB - 2013B,1
64,31849.0,BBB - 2013J,1
65,32221.0,FFF - 2013J,0
66,32239.0,GGG - 2013J,1
67,32327.0,BBB - 2014J,0
68,32885.0,AAA - 2013J,1
69,32930.0,BBB - 2014J,1
70,33387.0,DDD - 2013J,0
71,33600.0,FFF - 2013J,0
72,33666.0,BBB - 2013B,0
73,33681.0,DDD - 2013J,0
74,33681.0,DDD - 2014J,0
75,33796.0,DDD - 2014J,1
76,33897.0,DDD - 2013J,0
77,33897.0,DDD - 2014J,0
78,33915.0,FFF - 2013B,1
79,33930.0,DDD - 2013J,1
80,34068.0,CCC - 2014J,0
81,34087.0,DDD - 2013J,0
82,34087.0,DDD - 2014J,0
83,34229.0,BBB - 2013B,1
84,34293.0,FFF - 2014B,0
85,34353.0,BBB - 2013B,0
86,34653.0,DDD - 2013J,0
87,34662.0,BBB - 2014J,0
88,34731.0,FFF - 2013J,0
89,34756.0,BBB - 2013B,0
90,34863.0,BBB - 2013B,1
91,35001.0,GGG - 2013J,0
92,35340.0,EEE - 2014B,1
93,35355.0,CCC - 2014J,0
94,35355.0,EEE - 2013J,1
95,35502.0,DDD - 2014B,0
96,35508.0,EEE - 2014B,1
97,35544.0,FFF - 2013B,1
98,35747.0,FFF - 2014J,0
99,35796.0,FFF - 2014J,0
100,35812.0,BBB - 2013B,0
101,35860.0,FFF - 2013B,1
102,36347.0,FFF - 2014B,1
103,36385.0,FFF - 2013B,0
104,37298.0,FFF - 2013B,1
105,37622.0,BBB - 2013J,1
106,38053.0,AAA - 2013J,1
107,38234.0,BBB - 2013J,0
108,38711.0,BBB - 2014J,0
109,38941.0,BBB - 2014B,0
110,39208.0,BBB - 2014J,1
111,39411.0,DDD - 2013J,0
112,39427.0,DDD - 2013J,0
113,39655.0,BBB - 2013B,1
114,39660.0,DDD - 2014B,0
115,39882.0,FFF - 2014B,1
116,40184.0,DDD - 2013J,1
117,40419.0,DDD - 2013B,0
118,40419.0,DDD - 2013J,1
119,40563.0,DDD - 2013J,1
120,40604.0,CCC - 2014B,1
121,40857.0,FFF - 2014J,0
122,40878.0,FFF - 2014J,1
123,41060.0,DDD - 2013B,0
124,41414.0,GGG - 2014B,1
125,41547.0,BBB - 2014J,1
126,42552.0,FFF - 2014J,1
127,42616.0,FFF - 2013J,1
128,42638.0,CCC - 2014B,1
129,42638.0,EEE - 2013J,1
130,42668.0,FFF - 2013B,1
131,42746.0,CCC - 2014J,1
132,42746.0,FFF - 2014B,1
133,42818.0,DDD - 2013J,0
134,43273.0,FFF - 2013B,1
135,43284.0,DDD - 2013B,0
136,43430.0,FFF - 2013B,1
137,43564.0,EEE - 2013J,1
138,43958.0,FFF - 2013J,0
139,43958.0,FFF - 2014J,0
140,45423.0,FFF - 2014J,0
141,45462.0,AAA - 2013J,1
142,45642.0,AAA - 2013J,1
143,45664.0,CCC - 2014B,0
144,45664.0,DDD - 2013B,1
145,46016.0,DDD - 2014J,0
146,46148.0,FFF - 2014B,1
147,46605.0,CCC - 2014B,1
148,46705.0,CCC - 2014J,0
149,46753.0,DDD - 2014B,1
150,46812.0,DDD - 2014J,0
151,46844.0,AAA - 2014J,1
152,47061.0,EEE - 2014J,1
153,47063.0,DDD - 2013J,0
154,47855.0,BBB - 2013J,0
155,47861.0,FFF - 2014J,1
156,47891.0,BBB - 2014J,0
157,47924.0,FFF - 2013J,0
158,48040.0,BBB - 2013J,1
159,48152.0,DDD - 2013J,1
160,48503.0,BBB - 2013J,1
161,48635.0,FFF - 2014B,1
162,49119.0,CCC - 2014B,1
163,49119.0,DDD - 2014B,0
164,49123.0,GGG - 2014B,1
165,50069.0,BBB - 2014B,0
166,50263.0,CCC - 2014B,0
167,50263.0,FFF - 2013B,1
168,50476.0,DDD - 2014B,1
169,50487.0,FFF - 2013J,1
170,50610.0,DDD - 2013J,0
171,50993.0,BBB - 2013B,0
172,51030.0,DDD - 2014B,1
173,51033.0,DDD - 2014J,1
174,51153.0,DDD - 2014J,1
175,51163.0,DDD - 2013J,1
176,51301.0,BBB - 2013J,0
177,51485.0,FFF - 2013J,1
178,51576.0,CCC - 2014B,0
179,51576.0,CCC - 2014J,0
180,51576.0,FFF - 2013J,1
181,51955.0,DDD - 2014J,0
182,52014.0,DDD - 2013B,0
183,52130.0,AAA - 2013J,1
184,52275.0,FFF - 2014J,0
185,52426.0,BBB - 2014B,0
186,52702.0,GGG - 2014J,1
187,52765.0,AAA - 2014J,1
188,52797.0,BBB - 2013J,1
189,52899.0,BBB - 2013B,0
190,52899.0,BBB - 2013J,1
191,53025.0,AAA - 2013J,1
192,53136.0,FFF - 2014B,1
193,53166.0,FFF - 2013J,1
194,53197.0,FFF - 2013B,0
195,53300.0,CCC - 2014J,1
196,53488.0,DDD - 2013B,1
197,53632.0,DDD - 2014B,0
198,53632.0,DDD - 2014J,0
199,53709.0,FFF - 2013B,0
200,53709.0,FFF - 2014B,1
201,54062.0,CCC - 2014J,0
202,54062.0,EEE - 2013J,1
203,54810.0,DDD - 2014B,0
204,54810.0,DDD - 2014J,1
205,54867.0,FFF - 2014B,0
206,54882.0,FFF - 2013J,0
207,55013.0,FFF - 2013J,0
208,55026.0,BBB - 2013J,1
209,55104.0,AAA - 2014J,1
210,55419.0,FFF - 2013J,0
211,55450.0,FFF - 2013B,0
212,55968.0,BBB - 2014B,0
213,56637.0,FFF - 2014J,1
214,56667.0,FFF - 2014J,0
215,56789.0,BBB - 2013J,1
216,57079.0,BBB - 2013J,0
217,57227.0,DDD - 2013J,1
218,57285.0,BBB - 2014J,1
219,57506.0,AAA - 2013J,1
220,57818.0,DDD - 2013J,1
221,57844.0,FFF - 2013J,1
222,58071.0,AAA - 2014J,1
223,58089.0,BBB - 2013B,0
224,58316.0,AAA - 2014J,1
225,58549.0,FFF - 2013B,1
226,58617.0,DDD - 2014B,0
227,58640.0,FFF - 2013J,1
228,58653.0,BBB - 2014J,1
229,58731.0,DDD - 2014J,1
230,58873.0,AAA - 2013J,1
231,58884.0,FFF - 2014J,1
232,59185.0,AAA - 2013J,1
233,59272.0,BBB - 2014J,1
234,59275.0,DDD - 2013J,0
235,59370.0,DDD - 2013J,1
236,59725.0,BBB - 2014B,1
237,60135.0,DDD - 2013B,1
238,60162.0,GGG - 2014J,1
239,60405.0,GGG - 2013J,1
240,60416.0,BBB - 2014B,1
241,60519.0,FFF - 2013B,0
242,60809.0,CCC - 2014J,1
243,60809.0,EEE - 2014J,1
244,60830.0,BBB - 2014B,1
245,61352.0,BBB - 2014J,0
